AccountName,OpportunityName,Stage,CloseDate,LeadSource,ContactPerson,ContactPhone,ContactEmail,AccountAddress,OpportunityAmount
Infinity Solutions,Infinity Solutions - New Logo,Closed Won,2019-10-25,Partner Referral,Roger Rivera,2-935-871-82687,rrivera@infinitysolutions.com,"3709 Oak drive, Kingston Montana 49797",263000
Infinity Solutions,Infinity Solutions - Renewal,Closed Won,2020-03-29,Partner Referral,Gregory Ramos,1-377-657-77423,gramos@infinitysolutions.com,"3709 Oak drive, Kingston Montana 49797",536000
Infinity Solutions,Infinity Solutions - Upsell,Qualification,2023-11-11,Web,Lily Hanson,8-447-860-24324,lhanson@infinitysolutions.co,"1657 View ST., Manchester South Dakota 15690",276000
Lumina Co.,Lumina Co. - New Logo,Closed Won,2018-10-30,Phone Inquiry,Chad Green,2-846-043-67937,cgreen@luminaco..org,"7862 Lake St, Ashland Alabama 88691",595000
Lumina Co.,Lumina Co. - Renewal,Closed Won,2021-12-14,Partner Referral,Harry Orondor,3-030-908-38123,horondor@luminaco..org,"7862 Lake St, Ashland Alabama 88691",721000
Maverick Enterprises,Maverick Enterprises - New Logo,Qualification,2023-12-09,Partner Referral,Ernest Bell,5-506-490-83896,ebell@maverickenterprises.com,"3911 Cedar Dve, Salem Louisiana 63539",857000
Nexus Corp,Nexus Corp - New Logo,Closed Won,2017-12-04,Phone Inquiry,Korra Ludgate,2-000-921-81648,kludgate@nexuscorp.co,"5113 Fourth St, Ashland Minnesota 71245",319000
Nexus Corp,Nexus Corp - Renewal,Closed Lost,2019-10-10,Partner Referral,Donald Bailey,5-028-729-15480,dbailey@nexuscorp.co,"5113 Fourth St, Ashland Minnesota 71245",749000
Nexus Enterprises,Nexus Enterprises - New Logo,Closed Won,2018-07-01,Partner Referral,Addison Warren,3-120-340-0975,awarren@nexusenterprises.co,"1453 Cedar Place, Oakland West Virginia 61836",893000
Nexus Enterprises,Nexus Enterprises - Renewal,Prospecting,2023-12-13,Phone Inquiry,Fred Reyes,2-330-559-48470,freyes@nexusenterprises.co,"1453 Cedar Place, Oakland West Virginia 61836",33000
Nexus Innovations,Nexus Innovations - New Logo,Closed Won,2020-07-27,Phone Inquiry,David Bailey,5-014-145-32236,dbailey@nexusinnovations.edu,"9925 Seventh drive, Rockmart Mississippi 53911",775000
Nexus Innovations,Nexus Innovations - Renewal,Closed Won,2021-02-23,Partner Referral,Billy White,1-017-334-16453,bwhite@nexusinnovations.edu,"9925 Seventh drive, Rockmart Mississippi 53911",723000
Nexus Innovations,Nexus Innovations - Upsell,Value Proposition,2023-12-10,Phone Inquiry,Vira Rigattoni,1-958-146-81437,vrigattoni@nexusinnovations.net,"194 Oak St., Clinton Wisconsin 45974",741000
Nexus Labs,Nexus Labs - Lost,Closed Lost,2018-05-10,Partner Referral,Brooke Grant,1-206-154-72765,bgrant@nexuslabs.org,"8446 First Rd, Georgetown Alaska 29100",242000
Nexus Labs,Nexus Labs - Renewal,Prospecting,2023-01-01,Phone Inquiry,Kristen Rogers,9-569-553-27897,krogers@nexuslabs.org,"8446 First Rd, Georgetown Alaska 29100",429000
Nexus Labs,Nexus Labs - New Logo,Closed Won,2018-02-11,Web,Ashley Cooper,8-607-733-64225,acooper@nexuslabs.com,"8294 Third Drive, Oxford New Mexico 74736",539000
Nexus Labs,Nexus Labs - Upsell,Qualification,2023-12-01,Partner Referral,Jenna Rogers,9-839-290-82717,jrogers@nexuslabs.com,"8294 Third Drive, Oxford New Mexico 74736",91000
Nova Dynamics,Nova Dynamics - New Logo,Qualification,2023-05-01,Web,Daniel Rivera,9-614-777-3161,drivera@novadynamics.com,"4260 Cedar rd, Arlington South Dakota 97305",200000
OmniTech,OmniTech - New Logo,Closed Won,2021-04-24,Web,Lawrence Dubenowski,3-870-312-53877,ldubenowski@omnitech.com,"4278 Fourth ST., Greenville Maryland 46915",803000
OmniTech,OmniTech - Renewal,Closed Won,2022-07-02,Partner Referral,Terry Grant,2-642-863-60815,tgrant@omnitech.com,"4278 Fourth ST., Greenville Maryland 46915",543000
Orion Ventures,Orion Ventures - New Logo,Prospecting,2023-10-09,Phone Inquiry,Daniel Baker,6-670-630-38350,dbaker@orionventures.org,"3739 Fourth ave, Washington Massachusetts 73549",984000
Paragon Solutions,Paragon Solutions - New Logo,Value Proposition,2023-08-19,Phone Inquiry,Stanley Flores,4-863-890-88335,sflores@paragonsolutions.com,"2203 Fifth drive, Oxford Colorado 86855",311000
Phoenix Labs,Phoenix Labs - New Logo,Closed Won,2017-09-09,Web,Martin Halpert,3-361-495-01824,mhalpert@phoenixlabs.edu,"2125 Sixth st, Oxford Kansas 41915",990000
Phoenix Labs,Phoenix Labs - Renewal,Closed Won,2019-01-29,Phone Inquiry,Samuel Adams,6-562-556-8007,sadams@phoenixlabs.edu,"2125 Sixth st, Oxford Kansas 41915",94000
Prodigy Systems,Prodigy Systems - New Logo,Qualification,2023-12-15,Web,Michael Stewart,8-156-218-41096,mstewart@prodigysystems.co,"7106 Pine Rd., Milford Arizona 81946",100000
Quantum Dynamics,Quantum Dynamics - New Logo,Closed Won,2018-11-30,Partner Referral,Willie Hanson,9-215-012-58501,whanson@quantumdynamics.com,"2632 Eighth Rd, Riverside Ohio 37714",686000
Quantum Dynamics,Quantum Dynamics - Renewal,Closed Won,2020-09-17,Phone Inquiry,Chloe Turner,6-163-224-24672,cturner@quantumdynamics.com,"2632 Eighth Rd, Riverside Ohio 37714",601000
Quantum Dynamics,Quantum Dynamics - Resell,Closed Won,2018-12-22,Partner Referral,Christina Ramos,7-210-898-41178,cramos@quantumdynamics.net,"3885 Fourth Street, Fairview Delaware 11545",17000
Quantum Dynamics,Quantum Dynamics - Upsell,Closed Won,2022-04-18,Phone Inquiry,Olga Cooper,3-957-705-84696,ocooper@quantumdynamics.net,"3885 Fourth Street, Fairview Delaware 11545",395000
Serenity Systems,Serenity Systems - New Logo,Closed Won,2018-07-05,Partner Referral,Samantha Phillips,7-276-182-93491,sphillips@serenitysystems.edu,"5906 Park Road, Kingston New Hampshire 34843",703000
Serenity Systems,Serenity Systems - Renewal,Qualification,2023-12-12,Partner Referral,Ron Carlington,9-020-396-50253,rcarlington@serenitysystems.edu,"5906 Park Road, Kingston New Hampshire 34843",238000
Stellar Innovations,Stellar Innovations - Upsell,Prospecting,2023-10-11,Partner Referral,Ethan Howard,3-519-255-13163,ehoward@stellarinnovations.org,"7142 Sixth Hill, Manchester South Dakota 61942",396000
Stellar Innovations,Stellar Innovations - New Logo,Closed Won,2019-06-26,Partner Referral,Roger May,1-756-480-91731,rmay@stellarinnovations.com,"6425 Lake Ave, Greenville Oklahoma 73113",819000
Stellar Innovations,Stellar Innovations - Renewal,Prospecting,2023-04-04,Partner Referral,Dwight Wilson,8-332-769-37017,dwilson@stellarinnovations.com,"6425 Lake Ave, Greenville Oklahoma 73113",156000
Stratosphere Industries,Stratosphere Industries - New Logo,Closed Won,2021-06-24,Web,Terry Dubenowski,6-613-686-25786,tdubenowski@stratosphereindustries.co,"5460 Fourth Drive, Oxford Pennsylvania 42076",722000
Stratosphere Industries,Stratosphere Industries - Renewal,Closed Won,2021-07-22,Web,Julia Swanson,2-529-557-98626,jswanson@stratosphereindustries.co,"5460 Fourth Drive, Oxford Pennsylvania 42076",495000
Synchrony Labs,Synchrony Labs - New Logo,Qualification,2023-08-13,Partner Referral,Joel Montana,1-249-601-49879,jmontana@synchronylabs.edu,"7771 Fourth St, Macon North Dakota 84299",860000
Trillium Corp,Trillium Corp - New Logo,Value Proposition,2023-07-17,Phone Inquiry,Brandon Finch,8-418-333-61759,bfinch@trilliumcorp.net,"6364 Eighth Hill, Georgetown Colorado 75800",742000
Velocity Corp,Velocity Corp - New Logo,Closed Lost,2018-08-21,Web,Shawn Dubenowski,1-110-850-55664,sdubenowski@velocitycorp.com,"7915 Elm View, Arlington Oregon 30834",315000
Velocity Corp,Velocity Corp - Renewal,Closed Won,2019-02-12,Web,Spanky Pollock,9-229-576-49225,spollock@velocitycorp.com,"7915 Elm View, Arlington Oregon 30834",207000
Velocity Innovations,Velocity Innovations - New Logo,Closed Lost,2020-11-05,Phone Inquiry,Elizabeth Rigattoni,9-558-482-50044,erigattoni@velocityinnovations.biz,"6207 Oak ST, Kingston Kansas 71860",480000
Velocity Innovations,Velocity Innovations - Renewal,Prospecting,2023-04-30,Web,Allison Turner,4-449-575-69897,aturner@velocityinnovations.biz,"6207 Oak ST, Kingston Kansas 71860",86000
Vertex Corp,Vertex Corp - New Logo,Closed Won,2018-01-24,Phone Inquiry,Molly Bernard,7-288-504-36258,mbernard@vertexcorp.co,"7856 Seventh dr, Rockmart Nebraska 51557",15000
Vertex Corp,Vertex Corp - Renewal,Closed Won,2019-09-17,Partner Referral,Tiffany Santos,4-395-514-13892,tsantos@vertexcorp.co,"7856 Seventh dr, Rockmart Nebraska 51557",336000
Zenith Innovations,Zenith Innovations - New Logo,Prospecting,2023-07-31,Phone Inquiry,Aaron Jackson,4-750-633-57448,ajackson@zenithinnovations.biz,"6762 Cedar RD, Madison Nebraska 37657",319000
Zenith Innovations,Zenith Innovations - Lost,Closed Lost,2019-09-30,Phone Inquiry,Francisco Orondor,6-732-802-25523,forondor@zenithinnovations.com,"5667 View Place, Clayton Colorado 79159",69000
Zenith Innovations,Zenith Innovations - Renewal,Prospecting,2023-05-30,Partner Referral,Jeffrey Torres,8-270-751-50209,jtorres@zenithinnovations.com,"5667 View Place, Clayton Colorado 79159",287000
Zephyr Co.,Zephyr Co. - New Logo,Prospecting,2023-11-12,Partner Referral,Maria Cruz,9-502-445-01551,mcruz@zephyrco..com,"4502 Maple ST, Milton Florida 24048",494000
